x,y
0,10.0
1,20.0
2,30.0
3,40.0
4,50.0
5,60.0
6,70.0
7,80.0
8,90.0
9,100.0
10,110.0
11,120.0
12,130.0
13,140.0
14,150.0
15,160.0
16,170.0
17,180.0
18,190.0
19,200.0
20,210.0
21,220.0
22,230.0
23,240.0
24,250.0
25,260.0
26,270.0
27,280.0
28,290.0
29,300.0
30,310.0
31,320.0
32,330.0
33,340.0
34,350.0
35,360.0
36,370.0
37,380.0
38,390.0
39,400.0
40,410.0
41,420.0
42,430.0
43,440.0
44,450.0
45,460.0
46,470.0
47,480.0
48,490.0
49,500.0
50,510.0
51,520.0
52,530.0
53,540.0
54,550.0
55,560.0
56,570.0
57,580.0
58,590.0
59,600.0
60,610.0
61,620.0
62,630.0
63,640.0
64,650.0
65,660.0
66,670.0
67,680.0
68,690.0
69,700.0
70,710.0
71,720.0
72,730.0
73,740.0
74,750.0
75,760.0
76,770.0
77,780.0
78,790.0
79,800.0
80,810.0
81,820.0
82,830.0
83,840.0
84,850.0
85,860.0
86,870.0
87,880.0
88,890.0
89,900.0
90,910.0
91,920.0
92,930.0
93,940.0
94,950.0
95,960.0
96,970.0
97,980.0
98,990.0
99,1000.0
