x,y,z
0,10.0,30.0
1,20.0,50.0
2,30.0,70.0
3,40.0,90.0
4,50.0,110.0
5,60.0,130.0
6,70.0,150.0
7,80.0,170.0
8,90.0,190.0
9,100.0,210.0
10,110.0,230.0
11,120.0,250.0
12,130.0,270.0
13,140.0,290.0
14,150.0,310.0
15,160.0,330.0
16,170.0,350.0
17,180.0,370.0
18,190.0,390.0
19,200.0,410.0
20,210.0,430.0
21,220.0,450.0
22,230.0,470.0
23,240.0,490.0
24,250.0,510.0
25,260.0,530.0
26,270.0,550.0
27,280.0,570.0
28,290.0,590.0
29,300.0,610.0
30,310.0,630.0
31,320.0,650.0
32,330.0,670.0
33,340.0,690.0
34,350.0,710.0
35,360.0,730.0
36,370.0,750.0
37,380.0,770.0
38,390.0,790.0
39,400.0,810.0
40,410.0,830.0
41,420.0,850.0
42,430.0,870.0
43,440.0,890.0
44,450.0,910.0
45,460.0,930.0
46,470.0,950.0
47,480.0,970.0
48,490.0,990.0
49,500.0,1010.0
50,510.0,1030.0
51,520.0,1050.0
52,530.0,1070.0
53,540.0,1090.0
54,550.0,1110.0
55,560.0,1130.0
56,570.0,1150.0
57,580.0,1170.0
58,590.0,1190.0
59,600.0,1210.0
60,610.0,1230.0
61,620.0,1250.0
62,630.0,1270.0
63,640.0,1290.0
64,650.0,1310.0
65,660.0,1330.0
66,670.0,1350.0
67,680.0,1370.0
68,690.0,1390.0
69,700.0,1410.0
70,710.0,1430.0
71,720.0,1450.0
72,730.0,1470.0
73,740.0,1490.0
74,750.0,1510.0
75,760.0,1530.0
76,770.0,1550.0
77,780.0,1570.0
78,790.0,1590.0
79,800.0,1610.0
80,810.0,1630.0
81,820.0,1650.0
82,830.0,1670.0
83,840.0,1690.0
84,850.0,1710.0
85,860.0,1730.0
86,870.0,1750.0
87,880.0,1770.0
88,890.0,1790.0
89,900.0,1810.0
90,910.0,1830.0
91,920.0,1850.0
92,930.0,1870.0
93,940.0,1890.0
94,950.0,1910.0
95,960.0,1930.0
96,970.0,1950.0
97,980.0,1970.0
98,990.0,1990.0
99,1000.0,2010.0
